URAE,Municipio,Data Adesão,Populacao  Estimada,UGRHI
URAE 4 - NORTE,Águas de Lindóia,09/19/24 06:15:40,17.930,09 - Mogi-Guaçu
URAE 4 - NORTE,Altinópolis,09/19/24 06:15:40,16.818,04 - Pardo
URAE 4 - NORTE,Álvares Florence,09/19/24 06:15:40,3.915,15 - Turvo/Grande
URAE 4 - NORTE,Américo Brasiliense,10/09/23 13:44:25,33.019,09 - Mogi-Guaçu
URAE 4 - NORTE,Américo de Campos,08/15/23 13:53:00,5.870,15 - Turvo/Grande
URAE 2 - CENTRO,Analândia,07/18/23 21:48:58,4.589,05 - Piracicaba/Capivari/Jundiaí
URAE 2 - CENTRO,Araçoiaba da Serra,10/02/23 14:07:51,32.443,10 - Tietê/Sorocaba
URAE 4 - NORTE,Aramina,07/19/23 09:19:32,5.420,08 - Sapucaí/Grande
URAE 2 - CENTRO,Araras,07/20/23 11:29:54,130.866,09 - Mogi-Guaçu
URAE 3 - LESTE,Areias,07/25/23 14:11:14,3.577,02 - Paraíba do Sul
URAE 4 - NORTE,Ariranha,09/25/23 14:58:57,7.602,15 - Turvo/Grande
URAE 3 - LESTE,Atibaia,09/18/24 16:46:19,158.647,05 - Piracicaba/Capivari/Jundiaí
URAE 4 - NORTE,Bálsamo,07/26/23 11:53:08,9.596,15 - Turvo/Grande
URAE 4 - NORTE,Barbosa,07/24/23 09:41:39,5.640,19 - Baixo Tietê
URAE 2 - CENTRO,Barra Bonita,01/11/24 23:15:46,34.346,13 - Tietê/Jacaré
URAE 4 - NORTE,Barretos,08/21/24 14:03:27,122.485,12 - Baixo Pardo/Grande
URAE 4 - NORTE,Barrinha,08/29/23 15:41:40,32.092,09 - Mogi-Guaçu
URAE 2 - CENTRO,Bauru,09/26/23 14:57:37,379.146,13 - Tietê/Jacaré
URAE 4 - NORTE,Birigui,07/19/23 16:17:48,118.979,19 - Baixo Tietê
URAE 4 - NORTE,Borborema,09/19/23 15:26:02,14.226,16 - Tietê/Batalha
URAE 2 - CENTRO,Borebi,09/18/24 14:22:09,2.713,13 - Tietê/Jacaré
URAE 4 - NORTE,Brodowski,01/24/24 09:42:13,25.201,04 - Pardo
URAE 2 - CENTRO,Brotas,04/05/24 10:30:18,23.898,13 - Tietê/Jacaré
URAE 4 - NORTE,Caconde,07/19/23 09:23:19,17.101,04 - Pardo
URAE 4 - NORTE,Cafelândia,07/19/23 08:09:22,16.654,16 - Tietê/Batalha
URAE 2 - CENTRO,Caiuá,10/01/23 14:11:09,5.466,22 - Pontal do Paranapanema
URAE 4 - NORTE,Cajobi,08/28/24 15:49:56,9.133,15 - Turvo/Grande
URAE 2 - CENTRO,Canitar,08/08/23 10:23:28,6.283,17 - Médio Paranapanema
URAE 2 - CENTRO,Capivari,09/29/23 11:29:24,50.068,05 - Piracicaba/Capivari/Jundiaí
URAE 4 - NORTE,Catanduva,10/09/23 11:20:00,115.791,15 - Turvo/Grande
URAE 2 - CENTRO,Cerqueira César,09/29/23 16:37:00,21.469,17 - Médio Paranapanema
URAE 2 - CENTRO,Cerquilho,08/22/24 14:15:45,44.695,10 - Tietê/Sorocaba
